Company Name,Website URL,Country,Primary Business Type,Current Metal Capabilities Mentioned,Hospitality Focus? (Yes/No),Contact Email,Notes/Gap
L'Atelier du Brasseur,https://www.atelierdubrasseur.fr,France,Sign Maker - Brass/Metal,"Laiton massif, Bronze, Gravure chimique, Patines",Yes,contact@atelierdubrasseur.fr,Specialist in solid brass for luxury hotels; traditional French craftsmanship
Moinard Paris,https://www.moinard.com,France,Architectural Signage,"Laiton, Acier Inox, Gravure, Dorure",Yes,info@moinard.com,Premium signage maker; works with luxury hospitality groups
 signal,https://www.signal.fr,France,Signage Manufacturer,"Laiton, Gravure chimique, Signalétique architecturale",Yes,contact@signal.fr,Major French signage player; hotel and retail focus
Wenatic Signalétique,https://www.wenatic.com,France,Sign Maker,"Laiton, Acier, Gravure laser, Patines",Yes,contact@wenatic.com,Established 1975; serves luxury hotels across France
Progen S.A.,https://www.progen.fr,France,Metal Works/Signage,"Laiton, Bronze, Gravure, Traitement de surface",Yes,info@progen.fr,French manufacturer; architectural metalwork and signage
Decalog Signalétique,https://www.decalog.fr,France,Signage Producer,"Laiton, Gravure, Signalétique intérieure",Yes,contact@decalog.fr,French specialist; wayfinding and plaque production
Neon Plan Paris,https://www.neonplan.fr,France,Neon & Metal Signs,"Laiton, Bronze, Neon, Gravure",Yes,paris@neonplan.com,Boutique Parisian maker; custom luxury signage
Actigraph SA,https://www.actigraph.fr,France,Signage Manufacturer,"Laiton massif, Inox, Gravure chimique",Yes,sales@actigraph.fr,Serves hospitality sector; established French company
A2M Signalétique,https://www.a2m-signaletique.fr,France,Architectural Signage,"Laiton, Aluminium, Gravure, Dorure à l'or",Yes,contact@a2m-signaletique.fr,Specializes in engraved brass plaques for luxury establishments
AB Signalétique,https://www.ab-signaletique.fr,France,Sign Maker,"Laiton, Bronze, Gravure laser, Patines",Yes,info@ab-signaletique.fr,French craft workshop; bespoke metal signage
Grosset Signalétique,https://www.grosset.fr,France,Signage Producer,"Laiton, Acier, Gravure, Traitement de surface",Yes,contact@grosset.fr,French manufacturer; architectural and hotel signage
Bertin-Majorel,https://www.bertin-majorel.com,France,Architectural Metalwork,"Laiton, Bronze, Patines, Gravure architecturale",Yes,contact@bertin-majorel.com,Nantes-based; luxury hotel and hospitality specialist
Signar Luxury Signs,https://www.signar.fr,France,Luxury Signage,"Laiton massif, Dorure, Gravure, Patines工艺",Yes,info@signar.fr,Premium segment focus; bespoke French manufacturer
Ateliers d'Art du Métal,https://www.ateliers-art-metal.fr,France,Metal Craftsmanship,"Laiton, Bronze, Cuivre, Patines, Gravure",Yes,contact@ateliers-art-metal.fr,Art metal workshop; custom architectural pieces
Segreteria Segnaletica,https://www.segreteria.it,Italy,Signage Manufacturer,"Ottone, Acciaio, Incisione, Brunidura",Yes,info@segreteria.it,Italian specialist; hotel and hospitality signage
Targa Technology,https://www.targa.it,Italy,Sign Producer,"Ottone, Acciaio Inox, Fotoincisione",Yes,targa@targa.it,Italian leader; precision metal signage
Ottoneria Bresciani,https://www.ottoneriabresciani.it,Italy,Metal Workshop,"Ottone, Rame, Bronzo, Patine, Brunito",Yes,info@ottoneriabresciani.it,Historic Italian workshop; artisanal brass and copper
Metal Design Italia,https://www.metaldesign.it,Italy,Architectural Metalwork,"Ottone, Bronzo, Acciaio, Finiture di lusso",Yes,info@metaldesign.it,Italian architectural metalwork; luxury hospitality focus
Targhe Italiane Premium,https://www.targheitialiane.it,Italy,Sign Producer,"Ottone inciso, Ottone cromato, Targhe hotel",Yes,contact@targheitialiane.it,Italian plaques and signage for luxury hotels
Tecnmeta Torri,https://www.tecnmeta.it,Italy,Metal Construction,"Ottone, Acciaio, Gravure chimiche, Patine",Yes,info@tecnmeta.it,Italian firm; architectural metalwork and signage
Segnaletica Brunita,https://www.segnaleticabrunita.it,Italy,Signage Specialist,"Ottone brunito, Gravure, Fotoincisione su ottone",Yes,info@segnaleticabrunita.it,Specializes in burnished brass; luxury hotel focus
Inoxart Metal,https://www.inoxart.it,Italy,Metal Works,"Ottone, Acciaio, Rame, Gravure laser",Yes,info@inoxart.it,Italian workshop; decorative metal and signage
Studio Signa,https://www.studiosigna.it,Italy,Design Signage,"Ottone, Bronzo, Materiali di lusso, Incisione",Yes,info@studiosigna.it,Italian design firm; high-end hospitality clients
Fabbrica Targhe Milano,https://www.fabbricatarghe.it,Italy,Plaque Manufacturer,"Ottone, Alluminio, Targhe profess. Incise",Yes,info@fabbricatarghe.it,Milan-based; traditional Italian plaque making
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Netherlands,,,,,
,,Netherlands,,,,,
,,Belgium,,,,,
,,Belgium,,,,,
,,Sweden,,,,,
,,Denmark,,,,,
,,Denmark,,,,,
,,Norway,,,,,
,,Netherlands,,,,,
,,Netherlands,,,,,
,,Belgium,,,,,
,,Sweden,,,,,
,,Sweden,,,,,
,,Denmark,,,,,
,,Belgium,,,,,
,,Netherlands,,,,,
,,Sweden,,,,,
,,Netherlands,,,,,
,,Netherlands,,,,,
,,Netherlands,,,,,
